lakename,year,n_records,mean_temp_C,mean_dissolved_oxygen
Paul Lake,1984,14,20.892857142857142,7.057142857142857
Paul Lake,1985,16,18.4875,7.475
Paul Lake,1986,15,20.486666666666668,7.346666666666667
Paul Lake,1987,36,21.1,7.147222222222222
Paul Lake,1988,20,20.759999999999998,7.365
Paul Lake,1989,16,20.775,7.2875000000000005
Paul Lake,1990,17,19.776470588235295,7.523529411764706
Paul Lake,1991,16,21.38125,6.76875
Paul Lake,1992,17,18.7,8.86470588235294
Paul Lake,1993,18,18.516666666666666,8.916666666666666
Paul Lake,1994,18,20.038888888888888,8.027777777777779
Paul Lake,1995,16,22.24375,8.0375
Paul Lake,1996,15,20.59333333333333,8.226666666666667
Paul Lake,1997,15,20.68,8.38
Paul Lake,1998,15,21.826666666666664,8.126666666666667
Paul Lake,1999,15,21.7,7.553333333333333
Paul Lake,2000,4,19.225,8.7
Paul Lake,2001,15,21.386666666666667,7.866666666666666
Paul Lake,2002,14,22.24285714285714,7.8500000000000005
Paul Lake,2003,14,21.785714285714285,8.028571428571428
Paul Lake,2004,13,19.3,8.053846153846154
Paul Lake,2005,14,22.95,7.271428571428571
Paul Lake,2006,15,22.113333333333333,7.833333333333333
Paul Lake,2007,17,20.970588235294116,7.517647058823529
Paul Lake,2008,15,19.653333333333332,7.92
Paul Lake,2009,15,19.173333333333336,8.106666666666666
Paul Lake,2010,15,22.32,7.84
Paul Lake,2011,16,21.7125,7.8
Paul Lake,2012,15,23.006666666666668,7.794666666666667
Paul Lake,2013,15,21.166666666666668,7.9639999999999995
Paul Lake,2014,15,21.166666666666668,7.973333333333333
Paul Lake,2015,17,20.552941176470586,7.511764705882353
Paul Lake,2016,14,21.864285714285717,7.5
Peter Lake,1984,14,21.150000000000002,7.528571428571429
Peter Lake,1985,15,18.433333333333334,7.766666666666667
Peter Lake,1986,14,21.021428571428572,7.921428571428572
Peter Lake,1987,36,21.086111111111112,7.586111111111112
Peter Lake,1988,20,20.84,7.7
Peter Lake,1989,16,20.69375,7.8187500000000005
Peter Lake,1990,17,20.00588235294118,8.088235294117647
Peter Lake,1991,16,21.7,7.3875
Peter Lake,1992,17,18.8,9.394117647058822
Peter Lake,1993,19,18.010526315789473,9.942105263157895
Peter Lake,1994,17,20.052941176470586,9.476470588235294
Peter Lake,1995,16,22.118750000000002,9.76875
Peter Lake,1996,15,20.366666666666667,10.593333333333334
Peter Lake,1997,15,20.8,10.546666666666665
Peter Lake,1998,15,21.78666666666667,8.766666666666667
Peter Lake,1999,15,21.813333333333333,8.526666666666667
Peter Lake,2000,4,19.475,9.95
Peter Lake,2001,15,21.653333333333332,8.4
Peter Lake,2002,18,20.711111111111112,10.0
Peter Lake,2003,21,22.3,8.557142857142857
Peter Lake,2004,7,18.814285714285713,8.842857142857143
Peter Lake,2005,14,22.735714285714288,8.171428571428573
Peter Lake,2006,15,22.066666666666666,8.106666666666666
Peter Lake,2007,16,21.39375,8.19375
Peter Lake,2008,15,19.566666666666666,8.6
Peter Lake,2009,15,19.126666666666665,8.453333333333333
Peter Lake,2010,15,22.173333333333336,8.08
Peter Lake,2011,16,21.71875,8.40625
Peter Lake,2012,15,23.053333333333335,8.126666666666667
Peter Lake,2013,15,20.959999999999997,8.414666666666667
Peter Lake,2014,14,21.592857142857145,13.792857142857143
Peter Lake,2015,18,21.0,8.627777777777778
Peter Lake,2016,14,21.72142857142857,7.714285714285714
Tuesday Lake,1984,14,20.914285714285715,7.05
Tuesday Lake,1985,15,18.16,7.033333333333333
Tuesday Lake,1986,14,20.849999999999998,7.2
Tuesday Lake,1987,36,20.90277777777778,7.074999999999999
Tuesday Lake,1988,20,20.555,7.365
Tuesday Lake,1989,16,20.34375,7.35
Tuesday Lake,1990,17,20.223529411764705,7.411764705882353
Tuesday Lake,1991,15,22.56,6.46
Tuesday Lake,1993,8,19.55,8.0125
Tuesday Lake,1994,8,20.6875,8.4125
Tuesday Lake,1995,7,21.428571428571427,8.057142857142857
Tuesday Lake,1996,4,20.725,8.45
Tuesday Lake,1997,13,20.73076923076923,8.3
Tuesday Lake,1998,4,23.125,8.375
Tuesday Lake,1999,15,20.873333333333335,8.173333333333334
Tuesday Lake,2000,4,19.5,8.65
Tuesday Lake,2002,18,20.772222222222222,8.261111111111111
Tuesday Lake,2007,1,15.6,8.8
Tuesday Lake,2012,15,22.66,7.897333333333333
Tuesday Lake,2013,15,21.32,8.403333333333332
Tuesday Lake,2014,15,20.540000000000003,8.626666666666667
Tuesday Lake,2015,18,20.416666666666668,8.161111111111111
Tuesday Lake,2016,14,22.12857142857143,7.3428571428571425
